year,ncessch,school_id,school_name,leaid,lea_name,state_leaid,seasch,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,phone,fips,latitude,longitude,csa,cbsa,urban_centric_locale,county_code,school_level,school_type,school_status,lowest_grade_offered,highest_grade_offered,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,charter,magnet,shared_time,virtual,teachers_fte,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,elem_cedp,high_cedp,middle_cedp,ungrade_cedp,enrollment,state_leg_district_lower,state_leg_district_upper,ncessch_num,congress_district_id,direct_certification,lunch_program
2020,172409005032,1705032,Maine West High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700004,1755 S Wolf Rd,Des Plaines,IL,60018,1755 S Wolf Rd,Des Plaines,IL,60018,(847)827-6176,17,42.021,-87.9069,176,16980,13,17031,3,1,1,9,12,NA,-1,-1,-1,0,-1,-1,-1,NA,NA,NA,NA,0,1,0,0,2026,17055,17028,172409005032,1705,NA,-1
2020,172409005034,1705034,Ralph J Frost Academy,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620703002,1177 S Dee Rd,Park Ridge,IL,60068,1177 S Dee Rd,Park Ridge,IL,60068,(847)292-6521,17,41.996542,-87.854753,176,16980,21,17031,3,4,1,9,12,NA,-1,-1,-1,0,-1,-1,-1,NA,NA,NA,NA,0,1,0,0,NA,17055,17028,172409005034,1709,NA,-1
2021,172409005030,1705030,Maine East High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700001,2601 Dempster St,Park Ridge,IL,60068,2601 Dempster St,Park Ridge,IL,60068,(847)825-4484,17,42.037404,-87.857907,176,16980,21,17031,3,1,1,9,12,NA,5,1,1,0,-1,0,0,120,NA,NA,705,0,1,0,0,1876,17020,17010,172409005030,1709,NA,0
2021,172409005031,1705031,Maine South High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700003,1111 S Dee Rd,Park Ridge,IL,60068,1111 S Dee Rd,Park Ridge,IL,60068,(847)825-7711,17,42.0002,-87.8532,176,16980,21,17031,3,1,1,9,12,NA,6,0,0,0,-1,0,0,140,NA,NA,139,0,1,0,0,2454,17055,17028,172409005031,1709,NA,0
2021,172409005032,1705032,Maine West High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700004,1755 S Wolf Rd,Des Plaines,IL,60018,1755 S Wolf Rd,Des Plaines,IL,60018,(847)827-6176,17,42.021,-87.9069,176,16980,13,17031,3,1,1,9,12,NA,5,1,1,0,-1,0,0,123,NA,NA,651,0,1,0,0,2005,17055,17028,172409005032,1705,NA,0
2021,172409005034,1705034,Ralph J Frost Academy,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620703002,1177 S Dee Rd,Park Ridge,IL,60068,1177 S Dee Rd,Park Ridge,IL,60068,(847)292-6521,17,41.996542,-87.854753,176,16980,21,17031,3,4,1,9,12,NA,6,0,0,0,-1,0,0,4,NA,NA,NA,0,1,0,0,0,17055,17028,172409005034,1709,NA,0
2022,172409005030,1705030,Maine East High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700001,2601 Dempster St,Park Ridge,IL,60068,2601 Dempster St,Park Ridge,IL,60068,(847)825-4484,17,42.037404,-87.857907,176,16980,21,17031,3,1,1,9,12,NA,NA,NA,NA,0,NA,0,-1,124,NA,NA,NA,0,1,0,0,1808,17020,17010,172409005030,1709,NA,0
2022,172409005031,1705031,Maine South High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700003,1111 S Dee Rd,Park Ridge,IL,60068,1111 S Dee Rd,Park Ridge,IL,60068,(847)825-7711,17,42.0002,-87.8532,176,16980,21,17031,3,1,1,9,12,NA,NA,NA,NA,0,NA,0,-1,144,NA,NA,NA,0,1,0,0,2495,17055,17028,172409005031,1709,NA,0
2022,172409005032,1705032,Maine West High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620700004,1755 S Wolf Rd,Des Plaines,IL,60018,1755 S Wolf Rd,Des Plaines,IL,60018,(847)827-6176,17,42.021,-87.9069,176,16980,13,17031,3,1,1,9,12,NA,NA,NA,NA,0,NA,0,-1,121,NA,NA,NA,0,1,0,0,1880,17055,17028,172409005032,1705,NA,0
2022,172409005034,1705034,Ralph J Frost Academy,1724090,Maine Township HSD 207,IL-05-016-2070-17,0501620703002,1177 S Dee Rd,Park Ridge,IL,60068,1177 S Dee Rd,Park Ridge,IL,60068,(847)292-6521,17,41.996542,-87.854753,176,16980,21,17031,3,4,1,9,12,NA,NA,NA,NA,0,NA,0,-1,4,NA,NA,NA,0,1,0,0,0,17055,17028,172409005034,1709,NA,0
2023,172409005030,1705030,Maine East High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0162070170001,2601 Dempster St,Park Ridge,IL,60068,2601 Dempster St,Park Ridge,IL,60068,(847)825-4484,17,42.037404,-87.857907,176,16980,21,17031,3,1,1,9,12,NA,NA,NA,NA,0,NA,0,-1,123,-1,-1,-1,0,1,0,0,1834,17055,17028,172409005030,1709,NA,0
2023,172409005031,1705031,Maine South High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0162070170003,1111 S Dee Rd,Park Ridge,IL,60068,1111 S Dee Rd,Park Ridge,IL,60068,(847)825-7711,17,42.0002,-87.8532,176,16980,21,17031,3,1,1,9,12,NA,NA,NA,NA,0,NA,0,-1,150,-1,-1,-1,0,1,0,0,2491,17055,17028,172409005031,1705,NA,0
2023,172409005032,1705032,Maine West High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0162070170004,1755 S Wolf Rd,Des Plaines,IL,60018,1755 S Wolf Rd,Des Plaines,IL,60018,(847)827-6176,17,42.021,-87.9069,176,16980,13,17031,3,1,1,9,12,NA,NA,NA,NA,0,NA,0,-1,121,-1,-1,-1,0,1,0,0,1886,17056,17028,172409005032,1703,NA,0
2023,172409005034,1705034,Ralph J Frost Academy,1724090,Maine Township HSD 207,IL-05-016-2070-17,0162070173002,1177 S Dee Rd,Park Ridge,IL,60068,1177 S Dee Rd,Park Ridge,IL,60068,(847)292-6521,17,41.996542,-87.854753,176,16980,21,17031,3,4,1,9,12,NA,NA,NA,NA,0,NA,0,-1,4,-1,-1,-1,0,1,0,0,0,17055,17028,172409005034,1705,NA,0
2024,172409005030,1705030,Maine East High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0162070170001,2601 Dempster St,Park Ridge,IL,60068,2601 Dempster St,Park Ridge,IL,60068,(847)825-4484,17,42.037404,-87.857907,176,16980,21,17031,3,1,1,9,12,NA,NA,NA,NA,0,NA,0,0,135,-1,-1,-1,0,1,0,0,1921,17055,17028,172409005030,1709,NA,0
2024,172409005031,1705031,Maine South High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0162070170003,1111 S Dee Rd,Park Ridge,IL,60068,1111 S Dee Rd,Park Ridge,IL,60068,(847)825-7711,17,42.0002,-87.8532,176,16980,21,17031,3,1,1,9,12,NA,NA,NA,NA,0,NA,0,0,150,-1,-1,-1,0,1,0,0,2494,17055,17028,172409005031,1705,NA,0
2024,172409005032,1705032,Maine West High School,1724090,Maine Township HSD 207,IL-05-016-2070-17,0162070170004,1755 S Wolf Rd,Des Plaines,IL,60018,1755 S Wolf Rd,Des Plaines,IL,60018,(847)827-6176,17,42.021,-87.9069,176,16980,13,17031,3,1,1,9,12,NA,NA,NA,NA,0,NA,0,0,123,-1,-1,-1,0,1,0,0,1857,17056,17028,172409005032,1703,NA,0
2024,172409005034,1705034,Ralph J Frost Academy,1724090,Maine Township HSD 207,IL-05-016-2070-17,0162070173002,1177 S Dee Rd,Park Ridge,IL,60068,1177 S Dee Rd,Park Ridge,IL,60068,(847)292-6521,17,41.996542,-87.854753,176,16980,21,17031,3,4,1,9,12,NA,NA,NA,NA,0,NA,0,0,4,-1,-1,-1,0,1,0,0,0,17055,17028,172409005034,1705,NA,0
